doc_id,agreement_id,sentence_number,entity,entity_type,org_correction,corrected_entity_org,entity_correction,entity_abr
2,1518,47, UEC, ORG ,Union Election Commission (UEC),ORG,Union Election Commission (UEC),UEC
2,1518,84, UEC, ORG ,Union Election Commission (UEC),ORG,Union Election Commission (UEC),UEC
2,1518,138, UEC, ORG ,Union Election Commission (UEC),ORG,Union Election Commission (UEC),UEC
3,1519,0, Union Peace Dialogue Joint Committee, ORG ,Union Level Joint Ceasefire Monitoring Committee (JMC-U),ORG,Union Level Joint Ceasefire Monitoring Committee (JMC-U),JMC-U
3,1519,0, UPDJC, ORG ,Union Peace Dialogue Joint Committee (UPDJC),ORG,Union Peace Dialogue Joint Committee (UPDJC),UPDJC
3,1519,0, Tatmadaw, ORG ,Tatmadaw,ORG,Tatmadaw,Tatmadaw
3,1519,0, Ethnic Armed Organizations, ORG ,Ethnic Armed Organizations (EAO),ORG,Ethnic Armed Organizations (EAO),EAO
3,1519,0, Pyidaungsu Hluttaw, GPE ,Hluttaw,ORG,Hluttaw,Hluttaw
3,1519,18, Pyidaungsu Tatmadaw, ORG ,Tatmadaw,ORG,Tatmadaw,Tatmadaw
3,1519,31, Pyidaungsu Hluttaw, GPE ,Hluttaw,ORG,Hluttaw,Hluttaw
3,1519,33, Union Peace Dialogue Joint Committee, ORG ,Union Level Joint Ceasefire Monitoring Committee (JMC-U),ORG,Union Level Joint Ceasefire Monitoring Committee (JMC-U),JMC-U
3,1519,33, UPDJC, ORG ,Union Peace Dialogue Joint Committee (UPDJC),ORG,Union Peace Dialogue Joint Committee (UPDJC),UPDJC
3,1519,35, UPDJC, ORG ,Union Peace Dialogue Joint Committee (UPDJC),ORG,Union Peace Dialogue Joint Committee (UPDJC),UPDJC
3,1519,37, Tatmadaw, PERSON ,Tatmadaw,ORG,Tatmadaw,Tatmadaw
3,1519,45, Tatmadaw, PERSON ,Tatmadaw,ORG,Tatmadaw,Tatmadaw
3,1519,56, UPDJC, ORG ,Union Peace Dialogue Joint Committee (UPDJC),ORG,Union Peace Dialogue Joint Committee (UPDJC),UPDJC
3,1519,58, UPDJC, ORG ,Union Peace Dialogue Joint Committee (UPDJC),ORG,Union Peace Dialogue Joint Committee (UPDJC),UPDJC
3,1519,58, Union Peace, ORG ,Union Peace Dialogue Joint Committee (UPDJC),ORG,Union Peace Dialogue Joint Committee (UPDJC),UPDJC
3,1519,64, UPDJC, ORG ,Union Peace Dialogue Joint Committee (UPDJC),ORG,Union Peace Dialogue Joint Committee (UPDJC),UPDJC
