,agreement_id,entity_type,entity_named,entity_affiliated_org,entity_affiliated_org_abr,NER,entity_overall_description,NCA_status
502,1545, ORG ,Union Level Joint Ceasefire Monitoring Committee (JMC-U),Union Level Joint Ceasefire Monitoring Committee (JMC-U),JMC-U,SpaCy,Peace Committee,
503,1545, ORG ,State Level Joint Ceasefire Monitoring Committee (JMC-S),State Level Joint Ceasefire Monitoring Committee (JMC-S),JMC-S,SpaCy,Peace Committee,
504,1545, ORG ,Union Level Joint Ceasefire Monitoring Committee (JMC-U),Union Level Joint Ceasefire Monitoring Committee (JMC-U),JMC-U,SpaCy,Peace Committee,
505,1545, ORG ,State Level Joint Ceasefire Monitoring Committee (JMC-S),State Level Joint Ceasefire Monitoring Committee (JMC-S),JMC-S,SpaCy,Peace Committee,
506,1545, ORG ,Union Level Joint Ceasefire Monitoring Committee (JMC-U),Union Level Joint Ceasefire Monitoring Committee (JMC-U),JMC-U,SpaCy,Peace Committee,
507,1545, ORG ,Union Level Joint Ceasefire Monitoring Committee (JMC-U),Union Level Joint Ceasefire Monitoring Committee (JMC-U),JMC-U,SpaCy,Peace Committee,
508,1545, ORG ,Union Level Joint Ceasefire Monitoring Committee (JMC-U),Union Level Joint Ceasefire Monitoring Committee (JMC-U),JMC-U,SpaCy,Peace Committee,
509,1545, ORG ,Union Level Joint Ceasefire Monitoring Committee (JMC-U),Union Level Joint Ceasefire Monitoring Committee (JMC-U),JMC-U,SpaCy,Peace Committee,
510,1545, ORG ,Union Level Joint Ceasefire Monitoring Committee (JMC-U),Union Level Joint Ceasefire Monitoring Committee (JMC-U),JMC-U,SpaCy,Peace Committee,
511,1545, ORG ,Union Level Joint Ceasefire Monitoring Committee (JMC-U),Union Level Joint Ceasefire Monitoring Committee (JMC-U),JMC-U,SpaCy,Peace Committee,
512,1545, ORG ,Joint Implementing Coordination Meeting (JICM),Joint Implementing Coordination Meeting (JICM),JICM,SpaCy,Peace Committee,
513,1545, ORG ,Union Level Joint Ceasefire Monitoring Committee (JMC-U),Union Level Joint Ceasefire Monitoring Committee (JMC-U),JMC-U,SpaCy,Peace Committee,
514,1545, ORG ,Union Level Joint Ceasefire Monitoring Committee (JMC-U),Union Level Joint Ceasefire Monitoring Committee (JMC-U),JMC-U,SpaCy,Peace Committee,
515,1545, ORG ,Joint Ceasefire Monitoring Committee (JCMC),Joint Ceasefire Monitoring Committee (JCMC),JCMC,SpaCy,Peace Committee,
516,1545, ORG ,State Level Joint Ceasefire Monitoring Committee (JMC-S),State Level Joint Ceasefire Monitoring Committee (JMC-S),JMC-S,SpaCy,Peace Committee,
517,1545, ORG ,State Level Joint Ceasefire Monitoring Committee (JMC-S),State Level Joint Ceasefire Monitoring Committee (JMC-S),JMC-S,SpaCy,Peace Committee,
518,1545, ORG ,Union Level Joint Ceasefire Monitoring Committee (JMC-U),Union Level Joint Ceasefire Monitoring Committee (JMC-U),JMC-U,SpaCy,Peace Committee,
519,1545, ORG ,State Level Joint Ceasefire Monitoring Committee (JMC-S),State Level Joint Ceasefire Monitoring Committee (JMC-S),JMC-S,SpaCy,Peace Committee,
520,1545, ORG , Civilian, Civilian,,SpaCy,Civil Society,
521,1545, ORG , Ministry Security, Ministry Security,,SpaCy,Military,
522,1545, ORG , State / Division , State / Division ,,SpaCy,,
523,1545, ORG , State / Division , State / Division ,,SpaCy,,
524,1545, PERSON ,Ethnic Armed Organizations (EAO),Ethnic Armed Organizations (EAO),EAO,SpaCy,EAO,
525,1545, ORG ,Ethnic Armed Organizations (EAO),Ethnic Armed Organizations (EAO),EAO,SpaCy,EAO,
526,1545, PERSON ,Ethnic Armed Organizations (EAO),Ethnic Armed Organizations (EAO),EAO,SpaCy,EAO,
527,1545, ORG , Civilians, Civilians,,SpaCy,Civil Society,
528,1545, ORG , General Staff, General Staff,,SpaCy,,
529,1545, ORG ,State Level Joint Ceasefire Monitoring Committee (JMC-S),State Level Joint Ceasefire Monitoring Committee (JMC-S),JMC-S,SpaCy,Peace Committee,
530,1545, ORG ,Union Level Joint Ceasefire Monitoring Committee (JMC-U),Union Level Joint Ceasefire Monitoring Committee (JMC-U),JMC-U,SpaCy,Peace Committee,
