,agreement_id,entity_type,entity_named,entity_affiliated_org,entity_affiliated_org_abr,NER
175,1436, ORG ,Joint Ceasefire Monitoring Committee (JCMC),Joint Ceasefire Monitoring Committee (JCMC),JCMC,SpaCy
176,1436, ORG ,Joint Ceasefire Monitoring Committee (JCMC),Joint Ceasefire Monitoring Committee (JCMC),JCMC,SpaCy
177,1436, ORG , Committee, Committee,JMC,SpaCy
178,1436, ORG , Liaison Offices, Liaison Offices,,SpaCy
179,1436, ORG ,Ethnic Armed Organizations (EAO),Ethnic Armed Organizations (EAO),EAO,SpaCy
180,1436, ORG ,Ethnic Armed Organizations (EAO),Ethnic Armed Organizations (EAO),EAO,SpaCy
181,1436, ORG , Nationwide Ceasefire Agreement, Nationwide Ceasefire Agreement,,SpaCy
182,1436, GPE , Republic Union Myanmar Government, Republic Union Myanmar Government,,SpaCy
183,1436, ORG ,Ethnic Armed Organizations (EAO),Ethnic Armed Organizations (EAO),EAO,SpaCy
184,1436, PERSON , a. Signing, a. Signing,,SpaCy
185,1436, ORG , Nationwide Ceasefire Agreement, Nationwide Ceasefire Agreement,,SpaCy
186,1436, ORG , “ Framework Political Dialogue, “ Framework Political Dialogue,,SpaCy
187,1436, ORG ,Government of the Republic of the Union of Myanmar,Government of the Republic of the Union of Myanmar,Gov. of Myanmar,SpaCy
188,1436, ORG ,Ethnic Armed Organizations (EAO),Ethnic Armed Organizations (EAO),EAO,SpaCy
189,1436, ORG , Political Dialogue, Political Dialogue,,SpaCy
190,1436, GPE ,Hluttaw,Hluttaw,Hluttaw,SpaCy
191,1436, GPE , Republic Union Myanmar Government, Republic Union Myanmar Government,,SpaCy
192,1436, ORG ,Ethnic Armed Organizations (EAO),Ethnic Armed Organizations (EAO),EAO,SpaCy
193,1436, ORG ,Joint Monitoring Committee (JMC),Joint Monitoring Committee (JMC),JMC,SpaCy
194,1436, ORG ,Union Level Joint Ceasefire Monitoring Committee (JMC-U),Union Level Joint Ceasefire Monitoring Committee (JMC-U),JMC-U,SpaCy
195,1436, ORG , Nationwide Ceasefire Agreement, Nationwide Ceasefire Agreement,,SpaCy
196,1436, ORG ,Hluttaw,Hluttaw,Hluttaw,SpaCy
197,1436, PERSON ,Tatmadaw,Tatmadaw,Tatmadaw,SpaCy
198,1436, ORG ,Ethnic Armed Organizations (EAO),Ethnic Armed Organizations (EAO),EAO,SpaCy
199,1436, ORG , Framework Political Dialogue, Framework Political Dialogue,,SpaCy
200,1436, ORG , Political Dialogue, Political Dialogue,,SpaCy
201,1436, ORG , Nationwide Ceasefire Agreement, Nationwide Ceasefire Agreement,,SpaCy
202,1436, ORG , Nationwide Ceasefire Agreement, Nationwide Ceasefire Agreement,,SpaCy
203,1436, ORG ,Ethnic Armed Organizations (EAO),Ethnic Armed Organizations (EAO),EAO,SpaCy
204,1436, ORG ,Ethnic Armed Organizations (EAO),Ethnic Armed Organizations (EAO),EAO,SpaCy
205,1436, ORG , Extractive Industries Transparency Initiative, Extractive Industries Transparency Initiative,,SpaCy
206,1436, ORG ,Ethnic Armed Organizations (EAO),Ethnic Armed Organizations (EAO),EAO,SpaCy
207,1436, ORG ,Ethnic Armed Organizations (EAO),Ethnic Armed Organizations (EAO),EAO,SpaCy
208,1436, ORG ,Ethnic Armed Organizations (EAO),Ethnic Armed Organizations (EAO),EAO,SpaCy
209,1436, PERSON ,Hluttaw,Hluttaw,Hluttaw,SpaCy
210,1436, GPE ,Hluttaw,Hluttaw,Hluttaw,SpaCy
211,1436, GPE ,Myanmar (Burma),Myanmar (Burma),,SpaCy
212,1436, GPE ,Myanmar (Burma),Myanmar (Burma),,SpaCy
213,1436, ORG , Nationwide Ceasefire Agreement Joint Implementation Coordination Meetings, Nationwide Ceasefire Agreement Joint Implementation Coordination Meetings,,SpaCy
214,1436, ORG , Nationwide Ceasefire Agreement, Nationwide Ceasefire Agreement,,SpaCy
215,1436, ORG ,Joint Ceasefire Monitoring Committee (JCMC),Joint Ceasefire Monitoring Committee (JCMC),JCMC,SpaCy
216,1436, ORG , Nationwide Ceasefire Agreement, Nationwide Ceasefire Agreement,,SpaCy
217,1436, GPE ,Myanmar (Burma),Myanmar (Burma),,SpaCy
218,1436, ORG ,Ethnic Armed Organizations (EAO),Ethnic Armed Organizations (EAO),EAO,SpaCy
219,1436, ORG , Leaders Executive, Leaders Executive,,SpaCy
220,1436, ORG ,Hluttaw,Hluttaw,Hluttaw,SpaCy
221,1436, PERSON ,Tatmadaw,Tatmadaw,Tatmadaw,SpaCy
222,1436, ORG ,Joint Monitoring Committee (JMC),Joint Monitoring Committee (JMC),JMC,SpaCy
223,1436, ORG , CBO, CBO,,SpaCy
224,1436, ORG , Nationwide Ceasefire Coordination Team, Nationwide Ceasefire Coordination Team,,SpaCy
225,1436, ORG , NCCT, NCCT,,SpaCy
226,1436, ORG ,Union Peacemaking Working Committee (UPWC),Union Peacemaking Working Committee (UPWC),UPWC,SpaCy
227,1518, ORG , Working Committee, Working Committee,UPWC,SpaCy
228,1518, ORG ,Food and Drug Administration (FDA),Food and Drug Administration (FDA),FDA,SpaCy
229,1518, ORG ,Nationalities Brotherhood Federation (NBF),Nationalities Brotherhood Federation (NBF),NBF,SpaCy
230,1518, ORG ,National League Democracy (NLD),National League Democracy (NLD),NLD,SpaCy
231,1518, ORG ,National Unity Party (NUP),National Unity Party (NUP),NUP,SpaCy
232,1518, ORG ,United Nationalities Alliance (UNA),United Nationalities Alliance (UNA),UNA,SpaCy
233,1518, ORG ,Union Election Commission (UEC),Union Election Commission (UEC),UEC,SpaCy
234,1518, GPE , Yangon, Yangon,,SpaCy
235,1518, GPE ,Myanmar (Burma),Myanmar (Burma),,SpaCy
236,1518, ORG , CoC, CoC,,SpaCy
237,1518, GPE ,Myanmar (Burma),Myanmar (Burma),,SpaCy
238,1518, ORG , CoC, CoC,,SpaCy
239,1518, ORG , CoC, CoC,,SpaCy
240,1518, GPE ,Myanmar (Burma),Myanmar (Burma),,SpaCy
241,1518, LOC , Pyithu Hluttaw Law, Pyithu Hluttaw Law,,SpaCy
242,1518, PERSON , Amoytha Hluttaw Law, Amoytha Hluttaw Law,,SpaCy
243,1518, ORG , State, State,RSLP,SpaCy
244,1518, ORG , CoC, CoC,,SpaCy
245,1518, ORG , CoC, CoC,,SpaCy
246,1518, ORG , CoC, CoC,,SpaCy
247,1518, GPE ,Myanmar (Burma),Myanmar (Burma),,SpaCy
248,1518, ORG , CoC, CoC,,SpaCy
249,1518, GPE ,Myanmar (Burma),Myanmar (Burma),,SpaCy
250,1518, ORG , CoC, CoC,,SpaCy
251,1518, ORG , Union Election Commission, Union Election Commission,,SpaCy
252,1518, GPE ,Myanmar (Burma),Myanmar (Burma),,SpaCy
253,1518, ORG ,Union Election Commission (UEC),Union Election Commission (UEC),UEC,SpaCy
254,1518, ORG , Party, Party,KNPP,SpaCy
255,1518, ORG , Party, Party,KNPP,SpaCy
256,1518, ORG , Political Parties Registration Law Chapter II, Political Parties Registration Law Chapter II,,SpaCy
257,1518, ORG , Myanmar Police Force, Myanmar Police Force,,SpaCy
258,1518, PERSON , Hluttaw Laws, Hluttaw Laws,,SpaCy
259,1518, PERSON , Chapter XIV, Chapter XIV,,SpaCy
260,1518, ORG ,Union Election Commission (UEC),Union Election Commission (UEC),UEC,SpaCy
261,1518, ORG , Electoral Management Body, Electoral Management Body,,SpaCy
262,1518, ORG , Union Election Commission, Union Election Commission,,SpaCy
263,1518, ORG , Party, Party,KNPP,SpaCy
264,1518, LOC , Hluttaw Election, Hluttaw Election,,SpaCy
265,1518, ORG , Chapter XIII, Chapter XIII,,SpaCy
266,1518, ORG , CoC, CoC,,SpaCy
267,1518, ORG , State, State,RSLP,SpaCy
268,1518, ORG , Gender, Gender,,SpaCy
269,1518, ORG , CoC, CoC,,SpaCy
270,1518, ORG , Party, Party,KNPP,SpaCy
271,1518, ORG , CoC, CoC,,SpaCy
272,1518, ORG , CoC, CoC,,SpaCy
273,1518, ORG ,Union Election Commission (UEC),Union Election Commission (UEC),UEC,SpaCy
274,1518, ORG , Committee, Committee,JMC,SpaCy
275,1518, ORG , Committee, Committee,JMC,SpaCy
276,1518, ORG , CoC Monitoring Committee, CoC Monitoring Committee,,SpaCy
277,1518, ORG , Committee, Committee,JMC,SpaCy
278,1518, ORG , CoC, CoC,,SpaCy
279,1518, ORG , CoC, CoC,,SpaCy
280,1518, ORG , CoC, CoC,,SpaCy
281,1518, ORG , CoC, CoC,,SpaCy
282,1519, ORG , Political Dialogue, Political Dialogue,,SpaCy
283,1519, ORG ,Union Level Joint Ceasefire Monitoring Committee (JMC-U),Union Level Joint Ceasefire Monitoring Committee (JMC-U),JMC-U,SpaCy
284,1519, ORG ,Union Peace Dialogue Joint Committee (UPDJC),Union Peace Dialogue Joint Committee (UPDJC),UPDJC,SpaCy
285,1519, ORG , Parliament, Parliament,,SpaCy
286,1519, ORG ,Tatmadaw,Tatmadaw,Tatmadaw,SpaCy
287,1519, ORG , Nationwide Ceasefire Agreement, Nationwide Ceasefire Agreement,,SpaCy
288,1519, ORG , NCA, NCA,,SpaCy
289,1519, GPE ,Myanmar (Burma),Myanmar (Burma),,SpaCy
290,1519, ORG ,Ethnic Armed Organizations (EAO),Ethnic Armed Organizations (EAO),EAO,SpaCy
291,1519, GPE ,Hluttaw,Hluttaw,Hluttaw,SpaCy
292,1519, ORG , Political Dialogue, Political Dialogue,,SpaCy
293,1519, ORG ,Myanmar (Burma),Myanmar (Burma),,SpaCy
294,1519, ORG , Panglong, Panglong,,SpaCy
295,1519, ORG , Framework Political Dialogue, Framework Political Dialogue,,SpaCy
296,1519, ORG , Establish Union, Establish Union,,SpaCy
297,1519, ORG , democratic Union, democratic Union,,SpaCy
298,1519, ORG , Political Dialogue, Political Dialogue,,SpaCy
299,1519, ORG , Establish Union, Establish Union,,SpaCy
300,1519, ORG , Panglong, Panglong,,SpaCy
301,1519, GPE ,Myanmar (Burma),Myanmar (Burma),,SpaCy
302,1519, ORG ,Tatmadaw,Tatmadaw,Tatmadaw,SpaCy
303,1519, GPE ,Myanmar (Burma),Myanmar (Burma),,SpaCy
304,1519, GPE ,Myanmar (Burma),Myanmar (Burma),,SpaCy
305,1519, GPE ,Myanmar (Burma),Myanmar (Burma),,SpaCy
306,1519, ORG , Nationwide Ceasefire Agreement, Nationwide Ceasefire Agreement,,SpaCy
307,1519, ORG , Political Dialogue, Political Dialogue,,SpaCy
308,1519, ORG , Union Peace Conference, Union Peace Conference,,SpaCy
309,1519, GPE ,Hluttaw,Hluttaw,Hluttaw,SpaCy
310,1519, ORG ,Union Level Joint Ceasefire Monitoring Committee (JMC-U),Union Level Joint Ceasefire Monitoring Committee (JMC-U),JMC-U,SpaCy
311,1519, ORG ,Union Peace Dialogue Joint Committee (UPDJC),Union Peace Dialogue Joint Committee (UPDJC),UPDJC,SpaCy
312,1519, ORG , National Political Dialogue, National Political Dialogue,,SpaCy
313,1519, ORG , Working Committees, Working Committees,,SpaCy
314,1519, ORG ,Union Peace Dialogue Joint Committee (UPDJC),Union Peace Dialogue Joint Committee (UPDJC),UPDJC,SpaCy
315,1519, PERSON ,Tatmadaw,Tatmadaw,Tatmadaw,SpaCy
316,1519, ORG , Working Committees, Working Committees,,SpaCy
317,1519, ORG , Union Peace Conference, Union Peace Conference,,SpaCy
318,1519, ORG , Nationwide Ceasefire Agreement, Nationwide Ceasefire Agreement,,SpaCy
319,1519, ORG , Political Dialogue, Political Dialogue,,SpaCy
320,1519, ORG , Union Peace Conference, Union Peace Conference,,SpaCy
321,1519, PERSON ,Tatmadaw,Tatmadaw,Tatmadaw,SpaCy
322,1519, ORG , Union Peace Conference, Union Peace Conference,,SpaCy
323,1519, ORG , Working Committees, Working Committees,,SpaCy
324,1519, ORG , Working Committee, Working Committee,UPWC,SpaCy
325,1519, ORG ,Union Peace Dialogue Joint Committee (UPDJC),Union Peace Dialogue Joint Committee (UPDJC),UPDJC,SpaCy
326,1519, ORG , Working Committee, Working Committee,UPWC,SpaCy
327,1519, ORG ,Union Peace Dialogue Joint Committee (UPDJC),Union Peace Dialogue Joint Committee (UPDJC),UPDJC,SpaCy
328,1519, ORG , Union Peace Conference, Union Peace Conference,,SpaCy
329,1519, ORG ,Union Peace Dialogue Joint Committee (UPDJC),Union Peace Dialogue Joint Committee (UPDJC),UPDJC,SpaCy
330,1519, ORG , Union Peace Conference, Union Peace Conference,,SpaCy
331,1519, ORG ,Union Peace Dialogue Joint Committee (UPDJC),Union Peace Dialogue Joint Committee (UPDJC),UPDJC,SpaCy
332,1519, ORG , Nationwide Ceasefire Agreement, Nationwide Ceasefire Agreement,,SpaCy
333,1519, ORG , Political Dialogue, Political Dialogue,,SpaCy
334,1519, ORG ,Union Peace Dialogue Joint Committee (UPDJC),Union Peace Dialogue Joint Committee (UPDJC),UPDJC,SpaCy
335,1519, PERSON , Chapter, Chapter,,SpaCy
336,1519, ORG , Political Dialogue, Political Dialogue,,SpaCy
